Animal,Mother,MotherFw,MotherCw,Father,FatherFw,FatherCw,F1Sex,F1Fw,F1Cw,numCwParents,density
M.CC1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC13,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC14,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC15,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC16,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC17,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC19,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC20,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC20.1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
M.CC21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
M.CC23,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC25,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC26,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC27,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC29,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC30,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC31,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC32,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
M.CC33,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC34,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC35,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
M.CC36,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
M.CC37,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
F.CC1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC13,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC15,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC19,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC30,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,
F.CC5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,
F.CC6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,
F.CC9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
F.CC10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
F.CC14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
F.CC17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
F.CC18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
F.CC20,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
F.CC23,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC24,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC25,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC33,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,
F.CC16,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,
F.CC28,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,
F.CC38,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
F.CC39,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,
F.CC55,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC107,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC82,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC102,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC74,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC73,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC79,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC77,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
F.CC50,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,
