Trial,MaleID,MaleMorph,Wing_shape,Wing_vein,FemID,FemMorph,Date,CourtYN,MountYN,didnotinteract
t2,CC2,CwFw,Cw,Fw,CC22,wt,12/03/2020,1,1,0
t3,CC3,CwNw,Cw,Nw,CC10,Cw,12/03/2020,1,1,0
t4,CC4,wtFw,wt,Fw,CC23,wt,12/03/2020,1,0,0
t5,CC5,CwNw,Cw,Nw,CC19,wt,12/03/2020,1,0,0
t6,CC6,wtNw,wt,Nw,CC24,wt,12/03/2020,,,1
t7,CC7,CwNw,Cw,Nw,CC37,wt,12/03/2020,,,1
t8,CC8,CwNw,Cw,Nw,CC5,wt,12/03/2020,1,0,0
t9,CC9,wtNw,wt,Nw,CC13,wt,12/03/2020,,,1
t10,CC10,CwNw,Cw,Nw,CC25,Cw,12/03/2020,,,1
t11,CC11,wtNw,wt,Nw,CC17,Cw,12/03/2020,1,1,0
t12,CC12,wtFw,wt,Fw,CC8,Cw,12/03/2020,1,0,0
t13,CC13,CwFw,Cw,Fw,CC31,Cw,12/03/2020,1,1,0
t14,CC14,CwFw,Cw,Fw,CC27,wt,12/03/2020,1,0,0
t15,CC15,CwNw,Cw,Nw,CC4,Cw,12/03/2020,0,0,0
t16,CC16,CwNw,Cw,Nw,CC16,Cw,12/03/2020,,,1
t17,CC17,CwNw,Cw,Nw,CC26,wt,12/03/2020,0,1,0
t18,CC18,wtNw,wt,Nw,CC34,Cw,12/03/2020,,,1
t19,CC19,CwFw,Cw,Fw,CC14,wt,12/03/2020,0,0,0
t20,CC20,wtNw,wt,Nw,CC18,wt,12/03/2020,0,1,0
t21,CC21,CwFw,Cw,Fw,CC32,wt,12/03/2020,0,1,0
t22,CC22,CwNw,Cw,Nw,CC7,wt,12/03/2020,,,1
t23,CC23,CwNw,Cw,Nw,CC2,wt,12/03/2020,0,1,0
t24,CC24,CwNw,Cw,Nw,CC36,Cw,12/03/2020,0,0,0
t25,CC1,CwNw,Cw,Nw,CC33,wt,13/03/2020,,,1
t26,CC6,wtNw,wt,Nw,CC20,Cw,13/03/2020,1,1,0
t27,CC7,CwNw,Cw,Nw,CC9,wt,13/03/2020,1,0,0
t28,CC9,wtNw,wt,Nw,CC15,wt,13/03/2020,1,1,0
t29,CC10,CwNw,Cw,Nw,CC3,Cw,13/03/2020,0,1,0
t30,CC16,CwNw,Cw,Nw,CC7,wt,13/03/2020,1,1,0
