Trial,MaleID,MaleMorph,Cw,CwScore,Nw,MaleWeight,MalePL,FemID,FemMorph,Date,CourtStart,MountStart,CMtime,CourtYN,MountYN,DNI
t1,CC1,CwNw,Cw,,Nw,583,,,,12/03/2020,,,,,,1
t2,CC2,CwFw,Cw,,Fw,405,3.6,CC22,wt,12/03/2020,475,630,155,1,1,0
t3,CC3,CwNw,Cw,,Nw,475,3.75,CC10,Cw,12/03/2020,459,461,2,1,1,0
t4,CC4,wtFw,wt,0,Fw,500,3.73,CC23,wt,12/03/2020,52,,,1,0,0
t5,CC5,CwNw,Cw,,Nw,409,3.56,CC19,wt,12/03/2020,107,,,1,0,0
t6,CC6,wtNw,wt,0,Nw,392,,CC24,wt,12/03/2020,,,,,,1
t7,CC7,CwNw,Cw,,Nw,487,,CC37,wt,12/03/2020,,,,,,1
t8,CC8,CwNw,Cw,,Nw,428,3.6,CC5,wt,12/03/2020,,,,1,0,0
t9,CC9,wtNw,wt,0,Nw,,,CC13,wt,12/03/2020,,,,,,1
t10,CC10,CwNw,Cw,,Nw,,,CC25,Cw,12/03/2020,,,,,,1
t11,CC11,wtNw,wt,0,Nw,342,3.5,CC17,Cw,12/03/2020,169,170,1,1,1,0
t12,CC12,wtFw,wt,0,Fw,529,3.92,CC8,Cw,12/03/2020,470,,,1,0,0
t13,CC13,CwFw,Cw,,Fw,373,3.76,CC31,Cw,12/03/2020,115,210,95,1,1,0
t14,CC14,CwFw,Cw,,Fw,383,3.67,CC27,wt,12/03/2020,213,,,1,0,0
t15,CC15,CwNw,Cw,,Nw,390,3.93,CC4,Cw,12/03/2020,,,,0,0,0
t16,CC16,CwNw,Cw,,Nw,,,CC16,Cw,12/03/2020,,,,,,1
t17,CC17,CwNw,Cw,,Nw,430,3.66,CC26,wt,12/03/2020,,170,,0,1,0
t18,CC18,wtNw,wt,0,Nw,550,3.8,CC34,Cw,12/03/2020,,,,,,1
t19,CC19,CwFw,Cw,,Fw,363,3.77,CC14,wt,12/03/2020,,,,0,0,0
t20,CC20,wtNw,wt,0,Nw,525,4.09,CC18,wt,12/03/2020,,590,,0,1,0
t21,CC21,CwFw,Cw,,Fw,292,3.42,CC32,wt,12/03/2020,,185,,0,1,0
t22,CC22,CwNw,Cw,,Nw,,,CC7,wt,12/03/2020,,,,,,1
t23,CC23,CwNw,Cw,,Nw,389,3.7,CC2,wt,12/03/2020,,300,,0,1,0
t24,CC24,CwNw,Cw,,Nw,,,CC36,Cw,12/03/2020,,,,0,0,0
t25,CC1,CwNw,Cw,,Nw,,,CC33,wt,13/03/2020,,,,,,1
t26,CC6,wtNw,wt,0,Nw,,3.77,CC20,Cw,13/03/2020,,,,1,1,0
t27,CC7,CwNw,Cw,,Nw,,4.1,CC9,wt,13/03/2020,190,,,1,0,0
t28,CC9,wtNw,wt,0,Nw,408,3.6,CC15,wt,13/03/2020,270,316,46,1,1,0
t29,CC10,CwNw,Cw,,Nw,407,3.75,CC3,Cw,13/03/2020,,105,,0,1,0
t30,CC16,CwNw,Cw,,Nw,424,3.76,CC7,wt,13/03/2020,,,,1,1,0
t31,CC18,wtNw,wt,0,Nw,,,CC30,wt,13/03/2020,,,,0,0,0
t32,CC22,CwNw,Cw,,Nw,470,3.68,CC11,Cw,13/03/2020,245,,,1,0,0
t33,CC25,wtFw,wt,0,Fw,357,3.57,CC18,wt,13/03/2020,,480,,0,1,0
t34,CC1,CwNw,Cw,,Nw,583,4,CC13,wt,13/03/2020,130,210,80,1,1,0
t35,CC26,wtNw,wt,0,Nw,349,3.7,CC28,wt,15/03/2020,123,129,6,1,1,0
t36,CC27,wtFw,wt,0,Fw,,,CC24,wt,15/03/2020,,,,,,1
t37,CC28,CwNw,Cw,,Nw,340,3.57,CC35,Cw,15/03/2020,,,,0,0,0
t38,CC29,wtNw,wt,0,Nw,300,3.27,CC6,wt,15/03/2020,,239,,0,1,0
t39,CC30,CwFw,Cw,,Fw,305,3.3,CC16,Cw,15/03/2020,,60,,0,1,0
t40,CC31,wtFw,wt,0,Fw,473,3.92,CC29,wt,15/03/2020,180,,,1,0,0
t41,CC32,wtNw,wt,0,Nw,453,3.74,CC34,Cw,15/03/2020,101,110,9,1,1,0
t42,CC33,wtNw,wt,0,Nw,460,3.94,CC21,Cw,15/03/2020,,516,,0,1,0
t43,CC34,CwNw,Cw,,Nw,468,3.65,CC25,Cw,15/03/2020,250,260,10,1,1,0
t44,CC35,CwFw,Cw,,Fw,436,3.9,CC1,wt,15/03/2020,,,,0,0,0
t45,CC36,CwNw,Cw,,Nw,444,3.7,CC12,wt,15/03/2020,320,370,50,1,1,0
t46,CC37,wtNw,wt,0,Nw,542,4,CC51,Cw,15/03/2020,181,188,7,1,1,0
t47,CC38,CwFw,Cw,,Fw,452,3.6,CC48,Cw,15/03/2020,160,230,70,1,1,0
t48,CC39,CwNw,Cw,,Nw,388,3.4,CC43,wt,16/03/2020,,,,0,0,0
t49,CC40,CwFw,Cw,,Fw,399,3.9,CC46,wt,16/03/2020,230,235,5,1,1,0
t50,CC41,wtNw,wt,0,Nw,375,3.65,CC44,wt,16/03/2020,440,480,40,1,1,0
t51,CC42,wtFw,wt,0,Fw,,,CC39,wt,16/03/2020,,,,,,1
t52,CC43,wtNw,wt,0,Nw,513,3.81,CC40,Cw,16/03/2020,,,,0,0,0
t53,CC44,wtNw,wt,0,Nw,459,3.8,CC53,wt,16/03/2020,,,,0,0,0
t54,CC45,wtNw,wt,0,Nw,415,3.7,CC49,Cw,16/03/2020,140,150,10,1,1,0
t55,CC46,CwFw,Cw,,Fw,488,3.97,CC45,Cw,16/03/2020,,,,,,1
t56,CC47,CwNw,Cw,,Nw,348,3.2,CC47,wt,16/03/2020,,,,0,0,0
t57,CC48,wtFw,wt,0,Fw,449,4.14,CC38,wt,16/03/2020,,,,0,0,0
t58,CC49,CwFw,Cw,,Fw,478,3.9,CC42,wt,16/03/2020,380,,,1,0,0
t59,CC50,wtFw,wt,0,Fw,311,3.4,CC60,Cw,17/03/2020,300,,,1,0,0
t60,CC51,CwNw,Cw,,Nw,455,3.75,CC59,wt,17/03/2020,33,,,1,0,0
t61,CC52,wtFw,wt,0,Fw,350,3.5,CC37,wt,17/03/2020,530,,,0,1,0
t62,CC53,CwNw,Cw,,Nw,350,3.35,CC24,wt,17/03/2020,,,,0,0,0
t63,CC54,CwFw,Cw,,Fw,456,4.05,CC61,Cw,17/03/2020,51,56,5,1,1,0
t64,CC55,CwFw,Cw,,Fw,459,3.7,CC64,wt,17/03/2020,,,,0,0,0
t65,CC56,wtNw,wt,0,Nw,,,CC63,Cw,17/03/2020,,,,,,1
t66,CC27,wtFw,wt,0,Fw,,,CC50,Cw,17/03/2020,,,,,,1
t67,CC42,NA,NA,0,NA,501,3.75,CC39,Cw,17/03/2020,,530,,0,1,0
t68,CC57,wtNw,wt,0,Nw,,,CC57,wt,18/03/2020,,,,,,1
t69,CC58,wtNw,wt,0,Nw,459,3.9,CC56,wt,18/03/2020,,,,0,0,0
t70,CC60,wtNw,wt,0,Nw,,,CC58,Cw,18/03/2020,,,,,,1
t71,CC61,wtNw,wt,0,Nw,487,3.9,CC55,wt,18/03/2020,80,169,89,1,1,0
t72,CC62,wtNw,wt,0,Nw,560,3.9,CC54,Cw,18/03/2020,95,115,20,1,1,0
t73,CC42,CwFw,Cw,1,Fw,501,3.75,CC56,wt,18/03/2020,,420,,0,1,0
t74,CC2,CwFw,Cw,,Fw,446,,CC32,wt,18/03/2020,,,,0,0,0
t75,CC3,CwNw,Cw,,Nw,556,,CC14,wt,18/03/2020,360,375,15,1,1,0
t76,CC4,wtFw,wt,0,Fw,,,CC10,Cw,18/03/2020,,,,,,1
