gene_id,S01,S02,S03,S08,S09,S11,S12,S13,S14,S16,S17,S21,S22,S23,S24,S25
TOSG014603,3,7,7,14,8,9,17,18,11,11,21,6,16,12,5,19
MSTRG.5,157,80,150,91,150,118,156,31,42,93,64,103,117,157,43,79
MSTRG.4,3,4,5,3,3,2,6,0,0,5,7,6,2,4,4,3
MSTRG.2,32,63,59,19,17,6,71,5,5,17,27,16,7,2,27,41
MSTRG.1,7,16,15,15,17,17,15,13,13,17,15,8,8,23,4,24
MSTRG.3,195,153,154,226,304,302,304,239,91,206,274,276,295,155,88,232
MSTRG.6,119,81,92,109,144,98,109,103,138,104,146,47,141,104,50,127
TOSG009777,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
MSTRG.7,2106,1930,2163,2314,2537,1884,2054,2126,2546,1968,2479,1868,2537,1686,896,2910
MSTRG.8,1722,1687,1937,2189,2296,1637,1721,2069,2347,1755,2104,1592,2201,1758,824,2630
TOSG009792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10,24,7,22,12,12,18,15,12,16,13,14,14,23,9,11,20
MSTRG.9,303,284,243,255,241,211,188,253,254,221,267,287,152,211,122,306
MSTRG.11,25,40,36,40,48,33,41,46,52,38,61,22,50,23,24,56
TOSG009791,24,53,49,61,63,33,23,38,50,35,48,12,103,23,26,38
MSTRG.15,8990,8383,7981,9331,9456,6707,9200,8953,10363,8259,13609,7821,11281,12376,4655,12210
MSTRG.13,128,160,92,38,34,28,116,76,123,98,64,25,85,58,74,79
MSTRG.14,106,163,133,173,179,158,149,171,214,146,205,183,186,135,89,204
MSTRG.12,3512,3300,3739,4245,4606,3242,3498,3874,4311,3583,4514,3399,4228,3277,1706,5212
MSTRG.16,2083,1785,2016,2312,2601,2006,2198,2240,2567,1930,2658,1984,2354,1302,903,3044
MSTRG.18,1177,1136,993,1010,1283,847,907,962,1671,984,1733,873,1345,791,598,1384
MSTRG.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
MSTRG.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.25,4507,4940,5083,4641,5852,4174,4594,4546,5911,4096,5910,3999,4915,3723,2261,6181
MSTRG.17,3997,3814,4603,4597,4795,3624,4234,3875,4705,3600,4999,3741,4797,2708,2029,5227
MSTRG.26,2191,1711,1671,2081,2293,1684,2027,1646,2359,1737,3325,1189,3791,3198,906,2285
MSTRG.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28,1823,1702,1992,2120,2337,1751,2005,2027,2311,1760,2492,1823,2277,1431,1008,2743
MSTRG.29,3599,2876,3255,3813,3980,3077,3445,3337,3825,3121,4152,3088,4017,2327,1502,4528
TOSG003528,14,19,17,19,18,16,15,22,20,21,15,19,16,14,5,31
MSTRG.30,1064,948,881,1127,1313,834,1209,1030,1375,848,1417,1025,1221,424,394,1242
MSTRG.31,6202,5394,5115,6214,7003,4651,6937,5426,7400,4764,8599,5686,6465,2770,2596,6406
MSTRG.32,2661,1808,1882,2242,2276,1587,1889,1968,2096,2048,3397,2646,2209,1366,1110,3224
MSTRG.33,7,0,0,9,0,0,3,0,0,5,0,4,3,0,0,0
MSTRG.34,34,29,24,44,32,14,27,35,32,26,47,33,31,18,24,47
MSTRG.35,2435,517,2298,1010,2219,556,2203,1720,807,1255,3163,2134,856,1792,711,2651
MSTRG.36,534,557,655,671,724,585,585,567,801,478,664,536,707,501,237,777
MSTRG.37,53,61,51,68,57,48,43,35,43,52,71,57,58,43,27,43
MSTRG.38,29,28,50,36,105,7,39,51,65,3,44,33,13,15,5,110
prepG97,0,2,0,2,2,4,5,0,20,0,1,4,10,5,7,4
TOSG003855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.40,460,486,448,526,467,371,408,505,522,416,497,337,393,504,243,492
MSTRG.39,3607,3059,3416,3740,4532,2823,3604,3458,4280,2911,4354,2889,4073,2301,1655,4272
TOSG003820,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MSTRG.42,9,29,13,11,10,27,10,16,13,12,36,9,29,15,6,27
MSTRG.41,5236,5029,5451,6214,6173,4495,5534,5129,6695,4627,6797,4692,6342,4575,2685,7111
prepG95,129,105,104,98,108,95,102,115,127,111,114,87,108,95,59,163
prepG94,120,110,96,117,130,68,97,106,102,103,126,125,144,48,72,142
TOSG003822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOSG003823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOSG003824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prepG96,2,4,8,3,8,3,6,5,5,11,14,4,11,6,7,8
MSTRG.43,1546,1495,1806,1906,2037,1443,1735,1885,2132,1457,1958,1559,1908,1413,764,2311
MSTRG.44,2264,2039,2451,2521,2748,2144,2435,2403,2779,1986,2833,1873,2732,1797,1169,3033
